concept,source_workbook,source_sheet,source_entity,source_column,source_definition_if_known,type,units,coding,missing_percent,n_records,notes
vital_status,,,demographic,demographic.vital_status,The survival state of the person registered on the protocol.,keyword,,Alive; Dead; Not Reported; Unknown,1.42,2189,GDC restricts its own survival calculations to alive/dead.
vital_status,TARGET_AML_ClinicalData_AAML1031_AAML0631_additionalCasesForSortedCellsAndCBExperiment_20230720.xlsx,Sheet1,supplement_row,Vital Status,"CDE: The subdivisions of responses that describe whether a person who has taken part in an activity is alive, dead or if their status is unknown or unspecified.",categorical,,Alive; Dead; Unknown; Unspecified,0.0,89,Candidate equivalent to GDC vital_status pending discordance audit.
vital_status,TARGET_AML_ClinicalData_AML1031_20230720.xlsx,Clinical Data,supplement_row,Vital Status,"CDE: The subdivisions of responses that describe whether a person who has taken part in an activity is alive, dead or if their status is unknown or unspecified.",categorical,,Alive; Dead; Unknown; Unspecified,0.0,1069,Candidate equivalent to GDC vital_status pending discordance audit.
vital_status,TARGET_AML_ClinicalData_Discovery_20230720.xlsx,Clinical Data,supplement_row,Vital Status,"CDE: The subdivisions of responses that describe whether a person who has taken part in an activity is alive, dead or if their status is unknown or unspecified.",categorical,,Alive; Dead; Unknown; Unspecified,4.08,466,Candidate equivalent to GDC vital_status pending discordance audit.
vital_status,TARGET_AML_ClinicalData_LowDepthRNAseq_20230720.xlsx,Clinical Data,supplement_row,Vital Status,"CDE: The subdivisions of responses that describe whether a person who has taken part in an activity is alive, dead or if their status is unknown or unspecified.",categorical,,Alive; Dead; Unknown; Unspecified,0.0,449,Candidate equivalent to GDC vital_status pending discordance audit.
vital_status,TARGET_AML_ClinicalData_Validation_20230720.xlsx,Clinical Data,supplement_row,Vital Status,"CDE: The subdivisions of responses that describe whether a person who has taken part in an activity is alive, dead or if their status is unknown or unspecified.",categorical,,Alive; Dead; Unknown; Unspecified,2.07,627,Candidate equivalent to GDC vital_status pending discordance audit.
os_time,,,demographic,demographic.days_to_death,Days between index date and date of death.,long,days,,66.1,2189,Event time for Dead cases only. Not a complete OS time.
os_time,,,diagnosis,diagnoses.days_to_last_follow_up,"Time interval from last follow-up to initial pathologic diagnosis, days.",double,days,,1.42,2189,Candidate censoring time. Not locked.
os_time,,,follow_up,follow_ups.days_to_follow_up,Days from index to last follow-up appointment or contact.,long,days,,92.78,61746,Multiple records per case; Last Contact vs first-event timepoints.
os_time,TARGET_AML_ClinicalData_AAML1031_AAML0631_additionalCasesForSortedCellsAndCBExperiment_20230720.xlsx,Sheet1,supplement_row,Overall Survival Time in Days,CDE: The number of days after diagnosis to the last follow-up or death.,numeric,days,,0.0,89,Single precomputed OS time. Candidate equivalent pending concordance.
os_time,TARGET_AML_ClinicalData_AML1031_20230720.xlsx,Clinical Data,supplement_row,Overall Survival Time in Days,CDE: The number of days after diagnosis to the last follow-up or death.,numeric,days,,0.0,1069,Single precomputed OS time. Candidate equivalent pending concordance.
os_time,TARGET_AML_ClinicalData_Discovery_20230720.xlsx,Clinical Data,supplement_row,Overall Survival Time in Days,CDE: The number of days after diagnosis to the last follow-up or death.,numeric,days,,4.08,466,Single precomputed OS time. Candidate equivalent pending concordance.
os_time,TARGET_AML_ClinicalData_LowDepthRNAseq_20230720.xlsx,Clinical Data,supplement_row,Overall Survival Time in Days,CDE: The number of days after diagnosis to the last follow-up or death.,numeric,days,,0.0,449,Single precomputed OS time. Candidate equivalent pending concordance.
os_time,TARGET_AML_ClinicalData_Validation_20230720.xlsx,Clinical Data,supplement_row,Overall Survival Time in Days,CDE: The number of days after diagnosis to the last follow-up or death.,numeric,days,,2.07,627,Single precomputed OS time. Candidate equivalent pending concordance.
age_at_diagnosis,,,diagnosis,diagnoses.age_at_diagnosis,Age at diagnosis expressed in days since birth.,long,days,,1.42,2189,Preferred GDC age field from Stage 1.
